image,bicubic_psnr_db,bicubic_ssim,standard_fsrcnn_psnr_db,standard_fsrcnn_ssim
baby,35.97166223922197,0.9505944206447552,37.00520120991189,0.9605078839005726
bird,35.940509039014785,0.9727066958672793,37.940472539175424,0.9788253067546648
butterfly,26.42120855792306,0.9144366281384533,28.04070416029606,0.9252438892480422
head,33.71576489249523,0.8540169247181505,34.2559791540407,0.8717120611803293
woman,31.150003167452827,0.9473280235168801,32.64151432925475,0.9567676791088094
AVERAGE,32.639829579221576,0.9278165385771036,33.976774278535764,0.9386113640384837
