image,bicubic_psnr_db,bicubic_ssim,original_fsrcnn_s_psnr_db,original_fsrcnn_s_ssim
baby,35.97166223922197,0.9505944206447552,36.89638369939142,0.9604166034649801
bird,35.940509039014785,0.9727066958672793,37.68645547229881,0.9789451296100671
butterfly,26.42120855792306,0.9144366281384533,27.855186506647502,0.9255095043139088
head,33.71576489249523,0.8540169247181505,34.22020571811693,0.871528282232026
woman,31.150003167452827,0.9473280235168801,32.450403090719334,0.9562199780613103
AVERAGE,32.639829579221576,0.9278165385771036,33.8217268974348,0.9385238995364584
