epoch,mse_loss,set5_psnr_db,set5_ssim,learning_rate
1,0.04870348802133167,21.985813108997974,0.6336977820205572,0.001
2,0.009718887717718934,25.7412498923975,0.7611478021334463,0.001
3,0.00575042932337805,26.91950462488336,0.8010492278025415,0.001
4,0.0036804566862174196,28.92286299238262,0.8540275852545205,0.001
5,0.0026550191786564926,29.81777091499449,0.8736778398717566,0.001
6,0.002337336988932873,30.218021734162278,0.8805074493835269,0.001
7,0.0021752746926702476,30.57410576707404,0.8906034992264594,0.001
8,0.002025369928470444,31.027641667241973,0.9014247847718581,0.001
9,0.0018459900939878035,31.559265009503065,0.911535041516391,0.001
10,0.001649855779500545,32.18031955615611,0.920548555131122,0.001
11,0.0014883504096600277,32.658384454408626,0.9252620755894231,0.001
12,0.0013998068564003436,32.89292887481715,0.9271512510627643,0.001
13,0.001359179049089377,33.045512696666236,0.9293184885468344,0.001
14,0.0013132908448364566,33.20016710099632,0.9305487386169846,0.001
15,0.0012819385314347467,33.27797727900132,0.9312985239325844,0.001
16,0.0012616342452359847,32.280593526624315,0.9301900305352028,0.001
17,0.0012203793252970523,33.46035837069048,0.9351164288035241,0.001
18,0.0011960484365232873,33.5742805793234,0.9358961480418768,0.001
19,0.00117918258215618,33.63093230653211,0.9363605632794826,0.001
20,0.0011700829910786035,33.542304374028326,0.9368028807456217,0.001
21,0.0011598378129477438,33.585620953032354,0.9376528710545458,0.001
22,0.0011529420163632104,33.7266213501285,0.9378648108234661,0.001
23,0.0011552746771805367,33.465139934651845,0.9381493303586013,0.001
24,0.001146172534400638,33.73884242827814,0.9383591338513358,0.001
25,0.001146708519337443,33.73639535190007,0.9384000417106698,0.001
26,0.001141723473415618,33.73880979191765,0.9384493508293346,0.001
27,0.001141106490439807,33.70175950582576,0.9383454457052753,0.001
28,0.0011433432491785324,33.79922064076828,0.9386339911369793,0.001
29,0.0011365672733838117,33.80379176147874,0.938372926040036,0.001
30,0.0011889545526323523,33.803094528193654,0.9385042578577447,0.001
31,0.0011332812735038184,33.80802431004123,0.9384485954081268,0.0001
32,0.0011330600512107823,33.81110742098125,0.938468509012773,0.0001
33,0.0011329112317320983,33.81339380082276,0.9384792748953806,0.0001
34,0.0011327700116313421,33.80955707924975,0.9384601928713368,0.0001
35,0.0011326502899864463,33.81226152674475,0.9384137210044333,0.0001
36,0.0011325219953445473,33.81773463474592,0.938493366797379,0.0001
37,0.0011324012921649737,33.81283358699485,0.9384583551545674,0.0001
38,0.0011322536633048043,33.81161610557096,0.9384860980617479,0.0001
39,0.0011320855159243405,33.81219391337088,0.9384913179075527,0.0001
40,0.001131888684959939,33.815432963727595,0.9384416058785288,0.0001
41,0.001131698169047013,33.81671148581165,0.9384063512602208,0.0001
42,0.0011315300235854831,33.81784510132021,0.9384348458657117,0.0001
43,0.0011312518961079019,33.82132844161939,0.9384797551510242,0.0001
44,0.0011310267767799854,33.815665726702676,0.938468136747943,0.0001
45,0.0011307282228109805,33.821500816989406,0.9385074053550723,0.0001
46,0.001130476520891854,33.8217268974348,0.9385238995364584,0.0001
47,0.0011302274533491173,33.81877776077515,0.9385036451391073,0.0001
48,0.0011299853530555074,33.819092031715115,0.938489393225155,0.0001
49,0.001129682371146583,33.815091580673524,0.9384205818448942,0.0001
50,0.0011294050877600408,33.82132150221236,0.9384555705854399,0.0001
